"","shoreline_site_name","site_length","slope","num_people_searching_for_debris","date","lat","long","total_weight_kg","total_plastic_items","total_metal_items","total_glass_items","total_rubber_items","total_processed_lumber_items","total_cloth_fabric_items","total_other_items","plastic_fragments_film","plastic_fragments_foamed","plastic_fragments_hard","plastic_bags","plastic_beverage_bottles","plastic_bottle_or_container_caps","plastic_cups","plastic_food_wrappers","plastic_other_jugs_or_containers","plastic_straws","plastic_utensils","plastic_6_pack_rings","plastic_cigar_tips","plastic_cigarettes","plastic_disposable_cigarette_lighters","plastic_buoys_and_floats","plastic_fishing_lures_and_line","plastic_rope_and_nets","plastic_balloons","plastic_personal_care_products","plastic_shotgun_shells_wads","plastic_other","metal_fragments","metal_aerosol_cans","metal_aluminum_tin_cans","metal_other","glass_fragments","glass_beverage_bottles","glass_jars","glass_other","rubber_fragments","rubber_balloons","rubber_flip_flops","rubber_gloves","rubber_tires","rubber_other","processed_lumber_cardboard_cartons","processed_lumber_building_material","processed_lumber_paper_and_cardboard","processed_lumber_bags","processed_lumber_other","cloth_fabric_fragments","cloth_fabric_clothing_and_shoes","cloth_fabric_gloves","cloth_fabric_rope_and_nets","cloth_fabric_towels_rags","cloth_fabric_other","other_other","plastic_other_jugs_or_containers_bait_containers_lids","plastic_rope_and_nets_yellow_poly_rope_snippets","plastic_personal_care_products_combs_or_brushes","plastic_personal_care_products_syringes","plastic_personal_care_products_toothbrushes","plastic_other_crab_buoy_tag","plastic_other_fireworks","plastic_other_golf_balls_and_tees","plastic_other_hagfish_trap_cones","plastic_other_irrigation_parts","plastic_other_light_sticks","plastic_other_mesh_bait_bags","plastic_other_oyster_spacers","plastic_other_oyster_spacers_oyster_bags","plastic_other_packing_bands","plastic_other_pens_pen_caps","plastic_other_plant_pot_or_trays","plastic_other_ribbon","plastic_other_toys","plastic_other_zipties","metal_other_construction_material","metal_other_metal_bottle_caps","metal_other_propane_canisters","glass_other_light_bulbs","rubber_other_rubber_straps","processed_lumber_paper_and_cardboard_fireworks","processed_lumber_other_creosote_treated_lumber","cloth_fabric_other_carpet","other_other_asphalt","other_other_brick","other_other_ceramic","other_other_terracota","total_items"
"1","Dangermond North Beach",100,"shoulders and above",2,2023-10-27,34.4684774,-120.4746962,NA,20,NA,NA,NA,NA,NA,NA,4,2,2,0,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"2","Dangermond North Beach 2",100,"knees to shoulders",2,2023-10-27,34.4615128,-120.4736656,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"3","Hollister Ranch - San Augustin",100,"knees to shoulders",2,2023-09-23,34.458,-120.359,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4","Jalama Beach",100,"knees to shoulders",2,2023-08-16,34.509,-120.502,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,1,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"5","Little Coho - Entrance",100,"knees to shoulders",2,2023-09-27,34.453,-120.418,NA,NA,NA,NA,NA,NA,NA,NA,1,40,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"6","Little Coho - South",100,"knees to shoulders",2,2023-09-27,34.453,-120.416,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7","Percos - Entrance",NA,NA,NA,2023-09-26,34.446,-120.452,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Percos - North",100,"knees to shoulders",2,2023-09-26,34.448,-120.449,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Percos - North Bend",100,NA,2,2023-09-26,34.446,-120.452,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"10","Percos - South",100,"shoulders and above",2,2023-09-26,34.4517053,-1204416843,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11","Vandenberg SFB - Honda Point",100,"knees and below",2,2023-09-12,34.609,-120.637,NA,NA,NA,NA,NA,NA,NA,NA,2,8,31,1,1,4,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"12","Vandenberg SFB - Minuteman North",100,"knees to shoulders",1,2023-10-15,34.858,-120.61,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"13","Vandenberg SFB - Minuteman South",100,"shoulders and above",1,2023-10-15,34.853,-120.61,NA,NA,NA,NA,NA,NA,NA,NA,3,3,9,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"14","Vandenberg SFB - Wall Beach",NA,"knees and below",3,2023-08-18,34.708,-120.601,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
