"","id","title","date","type","chapter_name","chapter_state","chapter_type","number_volunteers","total_weight","area_cleaned","cleanup_duration","location_name","location_country","location_state","cigarette_butts_number_837","plastic_bottles_beverage_number_822","plastic_bags_shopping_grocery_number_820","plastic_straws_number_832","plastic_forks_knives_spoons_number_827","plastic_cups_number_825","foam_cups_number_824","foam_take_out_food_containers_number_834","plastic_lids_yogurt_lids_coffee_lids_etc_number_829","plastic_food_wrappers_candy_chip_bags_etc_number_826","balloons_number_889","disinfectant_wipes_number_2216","latex_gloves_number_2217","single_use_mask_with_filter_number_2218","reusable_cloth_mask_number_2219","reusable_gloves_number_2220","single_use_surgical_mask_number_2221","foam_fragments_larger_than_a_dime_number_1840","foam_fragments_smaller_than_a_dime_number_842","plastic_fragments_larger_than_a_dime_number_1841","plastic_fragments_smaller_than_a_dime_number_843","nurdles_small_pre_production_plastic_pellets_number_844","x6_pack_holders_number_819","plastic_bags_other_zip_lock_trash_etc_number_821","plastic_bottle_caps_rings_number_823","juice_boxes_number_828","plates_foam_number_830","plates_plastic_number_831","plastic_stirrers_number_833","take_out_food_containers_plastic_number_835","plastic_cigarette_lighters_number_838","plastic_cigar_tips_number_839","plastic_tobacco_packaging_wrap_number_840","vape_cartridges_number_2452","single_use_weed_containers_number_2453","diapers_number_846","syringes_number_847","tampons_tampon_applicators_number_848","toothbrushes_number_849","toothpicks_floss_number_850","bait_bags_containers_number_852","buoys_floats_number_853","large_foam_pieces_number_2454","fishing_line_1_yard_1_piece_number_854","hooks_sinkers_lures_number_855","light_sticks_number_856","nets_number_857","pots_and_traps_number_858","rope_1_yard_1_piece_number_859","plastic_bottles_non_beverage_like_bleach_cleaners_oil_etc_number_862","foam_coolers_number_863","shotgun_wads_number_2455","plastic_film_wrapper_non_food_or_unknown_number_864","zip_ties_number_865","dog_poop_bags_number_2456","other_plastic_items_number_1907","paper_bags_number_867","paper_cigarette_boxes_number_868","paper_cups_number_869","paper_wood_fragments_pieces_number_870","paper_napkins_number_871","paper_plates_number_872","paper_straws_number_873","paper_take_out_food_containers_number_874","treated_wood_i_e_pallets_not_driftwood_number_875","wood_coffee_drink_stirrers_number_876","other_paper_wood_items_number_877","metal_bottle_caps_number_879","aluminum_cans_beverage_number_880","cans_other_metal_number_881","metal_fragments_number_882","other_metal_items_number_883","glass_bottles_beverage_number_885","glass_fragments_number_886","other_glass_items_number_887","condoms_number_890","tires_number_891","other_rubber_latex_items_number_892","fireworks_number_894","tarps_number_895","other_items_number_1908","date_of_record","chapter_cid","lat","long","total_items"
"1",2666,"Cleanup on 8/18/18 by San Luis Obispo Chapter at Pismo Beach Pier - San Luis Obispo - CA",2018-08-18,"Land","San Luis Obispo","CA","Chapter",8,1,NA,NA,"Pismo Beach Pier","US","CA",317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,35.138888888889,-120.64333333333,317
"2",2129,"Cleanup on 9/15/18 by San Luis Obispo Chapter at Sandspit Beach",2018-09-15,"Land","San Luis Obispo","CA","Chapter",11,72,NA,NA,"Sandspit Beach","US","CA",45,7,12,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,25,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,NA,NA,35.308888888889,-120.87166666667,177
"3",2637,"Cleanup on 10/6/18 by San Luis Obispo Chapter at Pirate's Cove - San Luis Obispo - CA",2018-10-06,"Land","San Luis Obispo","CA","Chapter",30,40,NA,NA,"Pirate's Cove","US","CA",1313,44,36,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,115,0,0,0,0,0,0,0,0,NA,NA,35.176111111111,-120.71583333333,1621
"4",5156,"Cleanup on 10/31/2018 at Morro Strand State Beach by Unaffiliated with a Surfrider Chapter/Club",2018-10-31,"Land","Unaffiliated with a Surfrider Chapter/Club",NA,NA,1,1,NA,1,"Morro Strand State Beach","US","CA",16,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,4,NA,NA,35.403333333333,-120.86888888889,49
"5",2638,"Cleanup on 11/3/18 by San Luis Obispo Chapter at Pirate's Cove - San Luis Obispo - CA",2018-11-03,"Land","San Luis Obispo","CA","Chapter",30,65,NA,NA,"Pirate's Cove","US","CA",1160,53,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,114,0,0,0,0,0,0,0,0,NA,NA,35.176111111111,-120.71583333333,1489
"6",2639,"Cleanup on 12/8/18 by San Luis Obispo Chapter at Pirate's Cove - San Luis Obispo - CA",2018-12-08,"Land","San Luis Obispo","CA","Chapter",45,103,NA,NA,"Pirate's Cove","US","CA",0,49,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,50,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,116,0,0,0,0,0,0,0,0,NA,NA,35.176111111111,-120.71583333333,413
"7",3170,"Cleanup on 09/21/2019 at West Grand Ave by San Luis Obispo",2019-09-21,"Land","San Luis Obispo","CA","Chapter",68,74.3,2,2,"West Grand Ave","US","CA",415,49,35,75,17,2,6,31,17,244,7,0,0,0,0,0,0,66,0,447,128,0,2,66,151,0,0,3,0,23,4,4,2,0,0,4,0,2,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,34,0,2,2,0,7,0,0,0,2,0,82,24,0,12,0,18,112,0,1,2,0,16,0,0,NA,NA,35.124166666667,-120.63472222222,2125
"8",3150,"Cleanup on 09/21/2019 at Morro Creek by California Polytechnic State University",2019-09-21,"Land","California Polytechnic State University","CA","Club",30,39,0.5,3,"Morro Creek","US","CA",282,11,4,15,0,1,2,2,14,153,2,0,0,0,0,0,0,20,22,107,100,0,0,14,48,0,0,0,3,23,1,0,2,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,5,0,0,0,4,0,0,3,4,0,0,36,10,0,0,0,0,0,0,35,4,0,0,0,14,73,0,0,3,0,1,0,4,NA,NA,35.376327,-120.864604,1029
"9",3723,"Cleanup on 10/06/2019 at Pirates Cove by California Polytechnic State University",2019-10-06,"Land","California Polytechnic State University","CA","Club",33,39,NA,2,"Pirates Cove","US","CA",91,12,10,4,1,6,0,0,9,59,0,0,0,0,0,0,0,23,0,65,0,0,0,10,25,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,56,31,0,1,0,0,0,3,81,28,0,12,60,20,325,0,3,0,12,3,0,0,NA,NA,35.175,-120.7152,975
"10",3899,"Cleanup on 10/18/2019 at Grover Beach by California Polytechnic State University",2019-10-18,"Land","California Polytechnic State University","CA","Club",46,40,NA,2,"Grover Beach","US","CA",105,5,3,12,13,0,0,0,0,185,31,0,0,0,0,0,0,7,0,100,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,97,69,0,0,0,40,0,0,38,3,0,3,16,1,60,0,0,0,3,0,0,205,NA,NA,35.121611,-120.621306,1091
"11",3880,"Cleanup on 10/27/2019 at West Grand Ave by San Luis Obispo",2019-10-27,"Land","San Luis Obispo","CA","Chapter",15,10.92,1,1,"West Grand Ave","US","CA",62,2,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,4,8,0,2,0,4,6,0,0,0,0,6,0,0,NA,NA,35.124166666667,-120.63472222222,175
"12",3975,"Cleanup on 10/27/2019 at Pirates Cove by California Polytechnic State University",2019-10-27,"Land","California Polytechnic State University","CA","Club",30,87,NA,2,"Pirates Cove","US","CA",354,28,0,19,13,11,0,0,19,112,0,0,0,0,0,0,0,2,0,13,0,0,0,21,23,0,0,0,0,2,0,0,2,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,3,0,3,7,0,4,67,49,0,0,0,20,0,3,58,68,0,5,9,51,124,0,2,0,3,0,0,104,NA,NA,35.175,-120.7152,1208
"13",3982,"Cleanup on 11/09/2019 at Sandspit by California Polytechnic State University",2019-11-09,"Land","California Polytechnic State University","CA","Club",46,95,NA,2,"Sandspit","US","CA",3,3,11,2,2,3,0,1,5,15,0,0,0,0,0,0,0,16,0,117,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,14,0,0,0,47,1,0,0,0,3,0,0,2,2,0,174,0,0,322,0,0,0,6,0,0,40,NA,NA,35.308654,-120.871426,803
"14",4227,"Cleanup on 01/12/2020 at Pirates Cove by California Polytechnic State University",2020-01-12,"Land","California Polytechnic State University","CA","Club",84,107,NA,2,"Pirates Cove","US","CA",189,37,5,30,7,62,3,5,36,134,0,0,0,0,0,0,0,11,0,73,0,0,0,18,26,0,0,0,0,12,2,0,13,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,3,0,59,4,7,4,138,62,0,5,0,3,0,10,133,130,1,23,1,145,90,3,33,0,4,0,0,91,NA,NA,35.175,-120.7152,1625
"15",4281,"Cleanup on 01/26/2020 at Sandspit by California Polytechnic State University",2020-01-26,"Land","California Polytechnic State University","CA","Club",45,95,NA,2,"Sandspit","US","CA",1,1,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,173,4,0,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,178,0,0,0,15,0,0,0,0,13,0,1,5,1,0,191,0,0,202,0,0,0,13,0,0,195,NA,NA,35.308654,-120.871426,1060
"16",4304,"Cleanup on 02/09/2020 at Pirates Cove by California Polytechnic State University",2020-02-09,"Land","California Polytechnic State University","CA","Club",20,110,NA,2,"Pirates Cove","US","CA",125,21,6,9,0,11,2,1,14,85,0,0,0,0,0,0,0,6,0,7,79,0,0,26,8,0,0,0,0,14,0,0,4,0,0,0,1,1,1,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,10,1,3,7,58,68,5,2,5,4,0,1,35,49,4,24,19,63,147,0,18,0,1,0,0,101,NA,NA,35.175,-120.7152,1058
"17",4360,"Cleanup on 02/23/2020 at Pismo Beach by California Polytechnic State University",2020-02-23,"Land","California Polytechnic State University","CA","Club",22,40,NA,2,"Pismo Beach","US","CA",98,13,4,10,5,1,0,0,6,127,0,0,0,0,0,0,0,9,8,21,28,0,0,0,13,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,0,0,0,0,3,0,30,1,0,1,103,31,0,0,0,0,0,0,11,12,0,1,1,3,2,0,0,0,5,0,0,122,NA,NA,35.138267,-120.64188,681
"18",4359,"Cleanup on 03/01/2020 at Pirates Cove by California Polytechnic State University",2020-03-01,"Land","California Polytechnic State University","CA","Club",77,65,NA,2,"Pirates Cove","US","CA",472,20,6,12,5,3,0,1,10,141,0,0,0,0,0,0,0,9,0,54,44,0,0,0,28,0,0,0,0,3,2,0,8,0,0,0,0,2,1,0,0,0,0,9,1,0,0,0,1,1,0,0,0,4,0,8,2,7,3,114,106,0,0,1,6,0,5,132,48,0,18,33,30,228,1,6,0,15,0,0,198,NA,NA,35.175,-120.7152,1798
"19",4355,"Cleanup on 03/01/2020 at Morro Strand State Beach by San Luis Obispo",2020-03-01,"Land","San Luis Obispo","CA","Chapter",15,21,NA,2,"Morro Strand State Beach","US","CA",154,41,2,17,6,21,0,1,26,41,0,0,0,0,0,0,0,2,0,130,0,0,1,16,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,2,0,90,0,24,90,0,0,0,0,0,2,0,4,0,0,6,0,0,0,0,0,3,0,0,NA,NA,35.403333333333,-120.86888888889,704
"20",4616,"Cleanup on 08/08/2020 at Avila Beach by San Luis Obispo",2020-08-08,"Land","San Luis Obispo","CA","Chapter",9,8,NA,1,"Avila Beach","US","CA",15,6,1,1,3,1,0,0,3,4,2,0,0,1,0,0,1,0,0,12,0,0,0,6,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,14,NA,NA,35.179166666667,-120.73666666667,95
"21",4689,"Cleanup on 09/05/2020 at Avila Beach by San Luis Obispo",2020-09-05,"Land","San Luis Obispo","CA","Chapter",3,500,0.5,6,"Avila Beach","US","CA",50,95,5,65,35,40,0,7,60,110,0,10,5,0,7,0,25,16,30,50,10,0,0,35,75,35,5,15,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,6,1,0,0,0,2,0,0,10,6,0,7,0,0,0,50,25,0,0,8,6,0,0,27,50,0,0,1,75,100,0,1,0,0,0,1,40,NA,NA,35.179166666667,-120.73666666667,1209
"22",4808,"Cleanup on 09/22/2020 at South Palisades Park by San Luis Obispo",2020-09-22,"Land","San Luis Obispo","CA","Chapter",1,5,0.4,1,"South Palisades Park","US","CA",6,2,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,30,2,0,0,0,0,0,1,2,1,0,0,0,10,5,0,0,0,0,0,0,3,NA,NA,35.16851116,-120.6961441,76
"23",4826,"Cleanup on 09/23/2020 at Avila Beach by San Luis Obispo",2020-09-23,"Land","San Luis Obispo","CA","Chapter",1,1.5,0.75,1,"Avila Beach","US","CA",4,0,0,2,0,2,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,30,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,3,NA,NA,35.179166666667,-120.73666666667,60
"24",5149,"Cleanup on 10/17/2020 at Pismo Beach Pier by San Luis Obispo",2020-10-17,"Land","San Luis Obispo","CA","Chapter",1,0.47,1,1,"Pismo Beach Pier","US","CA",15,1,2,1,2,0,0,1,0,0,0,2,1,0,0,0,0,2,0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,35.138888888889,-120.64333333333,39
"25",5145,"Cleanup on 10/17/2020 at Pismo Beach Pier by San Luis Obispo",2020-10-17,"Land","San Luis Obispo","CA","Chapter",10,1,NA,2,"Pismo Beach Pier","US","CA",15,0,0,1,1,0,0,0,2,7,0,1,0,0,0,0,1,0,4,3,5,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,35.138888888889,-120.64333333333,50
"26",5160,"Cleanup on 10/18/2020 at Pirate's Cove by California Polytechnic State University",2020-10-18,"Land","California Polytechnic State University","CA","Club",1,4,NA,1,"Pirate's Cove","US","CA",36,0,2,0,0,4,0,0,1,6,0,0,0,0,0,0,0,0,0,17,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,18,17,0,0,0,9,13,0,3,0,5,0,0,14,NA,NA,35.176111111111,-120.71583333333,177
"27",5151,"Cleanup on 10/24/2020 at Morro Rock by San Luis Obispo",2020-10-24,"Land","San Luis Obispo","CA","Chapter",1,1,1,0.5,"Morro Rock","US","CA",12,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA,35.371666666667,-120.86444444444,27
"28",5158,"Cleanup on 10/29/2020 at Pirate's Cove by Unaffiliated with a Surfrider Chapter/Club",2020-10-29,"Land","Unaffiliated with a Surfrider Chapter/Club",NA,NA,1,4,NA,1,"Pirate's Cove","US","CA",18,1,0,2,0,3,2,0,2,8,0,0,2,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,11,3,0,0,0,1,0,0,0,0,2,0,0,3,NA,NA,35.176111111111,-120.71583333333,73
"29",5154,"Cleanup on 10/29/2020 at Pirate's Cove by Unaffiliated with a Surfrider Chapter/Club",2020-10-29,"Land","Unaffiliated with a Surfrider Chapter/Club",NA,NA,1,5,NA,1,"Pirate's Cove","US","CA",10,0,0,0,0,6,0,2,0,9,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,1,0,0,2,0,0,0,0,0,0,1,NA,NA,35.176111111111,-120.71583333333,44
"30",5159,"Cleanup on 10/30/2020 at Shell Beach by California Polytechnic State University",2020-10-30,"Land","California Polytechnic State University","CA","Club",1,3,2,1.5,"Shell Beach","US","CA",3,2,1,1,0,1,0,0,1,6,0,1,0,1,1,0,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,8,0,0,0,2,2,0,0,0,0,0,0,0,NA,NA,35.168223,-120.695438,45
